Dataset,Shadows,FPR,k_frac,Metric,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std
CIFAR-10,256,1.788649529057435e-05,5.0,CSL-Diff-40 (Ours),0.22293333333333334,0.06147114951115053,0.757345516021131,0.050564470357462483
CIFAR-10,256,1.788649529057435e-05,5.0,LT-IQR (Pollock et al.),0.21306666666666665,0.05552689038254849,0.7267575433239704,0.05537995469340084
CIFAR-10,256,1.788649529057435e-05,5.0,Loss,0.002133333333333333,0.0009977753031397178,0.006651354547545442,0.0014371872689555555
CIFAR-10,256,1.788649529057435e-05,5.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,1.788649529057435e-05,5.0,RMIA (Baseline),0.24986666666666668,0.07174869723943116,0.8429169903853294,0.03717600957666907
CIFAR-10,256,1.788649529057435e-05,5.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.0092330025650458e-05,0.1,CSL-Diff-50 (Ours),0.7599999999999999,0.1131370849898476,0.05432999744647097,0.011623352709944265
CIFAR-10,256,2.0092330025650458e-05,0.1,CSL-Diff-40 (Ours),0.7466666666666667,0.082192186706253,0.05421069693232423,0.014272141961195178
CIFAR-10,256,2.0092330025650458e-05,0.1,LT-IQR (Pollock et al.),0.68,0.032659863237109024,0.051654677757313326,0.019906493485077226
CIFAR-10,256,2.0092330025650458e-05,0.1,Loss,0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,0.1,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,0.1,RMIA (Baseline),0.5066666666666667,0.1359738536958076,0.03444076808704455,0.002336472955819867
CIFAR-10,256,2.0092330025650458e-05,0.1,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.0092330025650458e-05,1.0,CSL-Diff-50 (Ours),0.49866666666666665,0.09832372834446199,0.3492059158566909,0.053783079559296336
CIFAR-10,256,2.0092330025650458e-05,1.0,CSL-Diff-40 (Ours),0.5053333333333333,0.0987567156647531,0.35425311992350283,0.055933334743474394
CIFAR-10,256,2.0092330025650458e-05,1.0,LT-IQR (Pollock et al.),0.48133333333333334,0.09568466729604883,0.33679540256113527,0.05104923447725171
CIFAR-10,256,2.0092330025650458e-05,1.0,Loss,0.0026666666666666666,0.0037712361663282535,0.00130718954248366,0.0018486451795726735
CIFAR-10,256,2.0092330025650458e-05,1.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,1.0,RMIA (Baseline),0.4466666666666667,0.12437934805353429,0.30396521405274035,0.03801382038895716
CIFAR-10,256,2.0092330025650458e-05,1.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.0092330025650458e-05,2.0,CSL-Diff-50 (Ours),0.3833333333333333,0.1008937835327606,0.5230839477196624,0.04033441117785602
CIFAR-10,256,2.0092330025650458e-05,2.0,CSL-Diff-40 (Ours),0.38999999999999996,0.10749263540664851,0.5294409220231918,0.03242044919773509
CIFAR-10,256,2.0092330025650458e-05,2.0,LT-IQR (Pollock et al.),0.36866666666666664,0.08681525723563162,0.5088851491460166,0.057146669458221486
CIFAR-10,256,2.0092330025650458e-05,2.0,Loss,0.0033333333333333335,0.0024944382578492943,0.003623294704415432,0.0025879689444170267
CIFAR-10,256,2.0092330025650458e-05,2.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,2.0,RMIA (Baseline),0.37866666666666665,0.09973743307081628,0.5177902647158429,0.061657578502159784
CIFAR-10,256,2.0092330025650458e-05,2.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.0092330025650458e-05,3.0,CSL-Diff-50 (Ours),0.3071111111111111,0.08243935294251313,0.6270014868420815,0.04305823862684305
CIFAR-10,256,2.0092330025650458e-05,3.0,CSL-Diff-40 (Ours),0.30977777777777776,0.08136854125626708,0.6339472216336429,0.04811456791715843
CIFAR-10,256,2.0092330025650458e-05,3.0,LT-IQR (Pollock et al.),0.29244444444444445,0.07354984872121478,0.6009874098341654,0.05305720162415801
CIFAR-10,256,2.0092330025650458e-05,3.0,Loss,0.0026666666666666666,0.0018856180831641268,0.004454549899760403,0.0032167702684022313
CIFAR-10,256,2.0092330025650458e-05,3.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,3.0,RMIA (Baseline),0.3324444444444445,0.09269197629318193,0.6749212661881968,0.047590139285683446
CIFAR-10,256,2.0092330025650458e-05,3.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.0092330025650458e-05,5.0,CSL-Diff-50 (Ours),0.22373333333333334,0.06172742952331285,0.7585917196840869,0.04384223737436313
CIFAR-10,256,2.0092330025650458e-05,5.0,CSL-Diff-40 (Ours),0.22293333333333334,0.06147114951115053,0.757345516021131,0.050564470357462483
CIFAR-10,256,2.0092330025650458e-05,5.0,LT-IQR (Pollock et al.),0.21306666666666665,0.05552689038254849,0.7267575433239704,0.05537995469340084
CIFAR-10,256,2.0092330025650458e-05,5.0,Loss,0.002133333333333333,0.0009977753031397178,0.006651354547545442,0.0014371872689555555
CIFAR-10,256,2.0092330025650458e-05,5.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.0092330025650458e-05,5.0,RMIA (Baseline),0.24986666666666668,0.07174869723943116,0.8429169903853294,0.03717600957666907
CIFAR-10,256,2.0092330025650458e-05,5.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.2570197196339216e-05,0.1,CSL-Diff-50 (Ours),0.7599999999999999,0.1131370849898476,0.05432999744647097,0.011623352709944265
CIFAR-10,256,2.2570197196339216e-05,0.1,CSL-Diff-40 (Ours),0.7466666666666667,0.082192186706253,0.05421069693232423,0.014272141961195178
CIFAR-10,256,2.2570197196339216e-05,0.1,LT-IQR (Pollock et al.),0.68,0.032659863237109024,0.051654677757313326,0.019906493485077226
CIFAR-10,256,2.2570197196339216e-05,0.1,Loss,0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,0.1,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,0.1,RMIA (Baseline),0.5066666666666667,0.1359738536958076,0.03444076808704455,0.002336472955819867
CIFAR-10,256,2.2570197196339216e-05,0.1,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.2570197196339216e-05,1.0,CSL-Diff-50 (Ours),0.49866666666666665,0.09832372834446199,0.3492059158566909,0.053783079559296336
CIFAR-10,256,2.2570197196339216e-05,1.0,CSL-Diff-40 (Ours),0.5053333333333333,0.0987567156647531,0.35425311992350283,0.055933334743474394
CIFAR-10,256,2.2570197196339216e-05,1.0,LT-IQR (Pollock et al.),0.48133333333333334,0.09568466729604883,0.33679540256113527,0.05104923447725171
CIFAR-10,256,2.2570197196339216e-05,1.0,Loss,0.0026666666666666666,0.0037712361663282535,0.00130718954248366,0.0018486451795726735
CIFAR-10,256,2.2570197196339216e-05,1.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,1.0,RMIA (Baseline),0.4466666666666667,0.12437934805353429,0.30396521405274035,0.03801382038895716
CIFAR-10,256,2.2570197196339216e-05,1.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.2570197196339216e-05,2.0,CSL-Diff-50 (Ours),0.3833333333333333,0.1008937835327606,0.5230839477196624,0.04033441117785602
CIFAR-10,256,2.2570197196339216e-05,2.0,CSL-Diff-40 (Ours),0.38999999999999996,0.10749263540664851,0.5294409220231918,0.03242044919773509
CIFAR-10,256,2.2570197196339216e-05,2.0,LT-IQR (Pollock et al.),0.36866666666666664,0.08681525723563162,0.5088851491460166,0.057146669458221486
CIFAR-10,256,2.2570197196339216e-05,2.0,Loss,0.0033333333333333335,0.0024944382578492943,0.003623294704415432,0.0025879689444170267
CIFAR-10,256,2.2570197196339216e-05,2.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,2.0,RMIA (Baseline),0.37866666666666665,0.09973743307081628,0.5177902647158429,0.061657578502159784
CIFAR-10,256,2.2570197196339216e-05,2.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.2570197196339216e-05,3.0,CSL-Diff-50 (Ours),0.3071111111111111,0.08243935294251313,0.6270014868420815,0.04305823862684305
CIFAR-10,256,2.2570197196339216e-05,3.0,CSL-Diff-40 (Ours),0.30977777777777776,0.08136854125626708,0.6339472216336429,0.04811456791715843
CIFAR-10,256,2.2570197196339216e-05,3.0,LT-IQR (Pollock et al.),0.29244444444444445,0.07354984872121478,0.6009874098341654,0.05305720162415801
CIFAR-10,256,2.2570197196339216e-05,3.0,Loss,0.0026666666666666666,0.0018856180831641268,0.004454549899760403,0.0032167702684022313
CIFAR-10,256,2.2570197196339216e-05,3.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,3.0,RMIA (Baseline),0.3324444444444445,0.09269197629318193,0.6749212661881968,0.047590139285683446
CIFAR-10,256,2.2570197196339216e-05,3.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.2570197196339216e-05,5.0,CSL-Diff-50 (Ours),0.22373333333333334,0.06172742952331285,0.7585917196840869,0.04384223737436313
CIFAR-10,256,2.2570197196339216e-05,5.0,CSL-Diff-40 (Ours),0.22293333333333334,0.06147114951115053,0.757345516021131,0.050564470357462483
CIFAR-10,256,2.2570197196339216e-05,5.0,LT-IQR (Pollock et al.),0.21306666666666665,0.05552689038254849,0.7267575433239704,0.05537995469340084
CIFAR-10,256,2.2570197196339216e-05,5.0,Loss,0.002133333333333333,0.0009977753031397178,0.006651354547545442,0.0014371872689555555
CIFAR-10,256,2.2570197196339216e-05,5.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.2570197196339216e-05,5.0,RMIA (Baseline),0.24986666666666668,0.07174869723943116,0.8429169903853294,0.03717600957666907
CIFAR-10,256,2.2570197196339216e-05,5.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.5353644939701114e-05,0.1,CSL-Diff-50 (Ours),0.7599999999999999,0.1131370849898476,0.05432999744647097,0.011623352709944265
CIFAR-10,256,2.5353644939701114e-05,0.1,CSL-Diff-40 (Ours),0.7466666666666667,0.082192186706253,0.05421069693232423,0.014272141961195178
CIFAR-10,256,2.5353644939701114e-05,0.1,LT-IQR (Pollock et al.),0.68,0.032659863237109024,0.051654677757313326,0.019906493485077226
CIFAR-10,256,2.5353644939701114e-05,0.1,Loss,0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,0.1,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,0.1,RMIA (Baseline),0.5066666666666667,0.1359738536958076,0.03444076808704455,0.002336472955819867
CIFAR-10,256,2.5353644939701114e-05,0.1,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.5353644939701114e-05,1.0,CSL-Diff-50 (Ours),0.49866666666666665,0.09832372834446199,0.3492059158566909,0.053783079559296336
CIFAR-10,256,2.5353644939701114e-05,1.0,CSL-Diff-40 (Ours),0.5053333333333333,0.0987567156647531,0.35425311992350283,0.055933334743474394
CIFAR-10,256,2.5353644939701114e-05,1.0,LT-IQR (Pollock et al.),0.48133333333333334,0.09568466729604883,0.33679540256113527,0.05104923447725171
CIFAR-10,256,2.5353644939701114e-05,1.0,Loss,0.0026666666666666666,0.0037712361663282535,0.00130718954248366,0.0018486451795726735
CIFAR-10,256,2.5353644939701114e-05,1.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,1.0,RMIA (Baseline),0.4466666666666667,0.12437934805353429,0.30396521405274035,0.03801382038895716
CIFAR-10,256,2.5353644939701114e-05,1.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.5353644939701114e-05,2.0,CSL-Diff-50 (Ours),0.3833333333333333,0.1008937835327606,0.5230839477196624,0.04033441117785602
CIFAR-10,256,2.5353644939701114e-05,2.0,CSL-Diff-40 (Ours),0.38999999999999996,0.10749263540664851,0.5294409220231918,0.03242044919773509
CIFAR-10,256,2.5353644939701114e-05,2.0,LT-IQR (Pollock et al.),0.36866666666666664,0.08681525723563162,0.5088851491460166,0.057146669458221486
CIFAR-10,256,2.5353644939701114e-05,2.0,Loss,0.0033333333333333335,0.0024944382578492943,0.003623294704415432,0.0025879689444170267
CIFAR-10,256,2.5353644939701114e-05,2.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,2.0,RMIA (Baseline),0.37866666666666665,0.09973743307081628,0.5177902647158429,0.061657578502159784
CIFAR-10,256,2.5353644939701114e-05,2.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.5353644939701114e-05,3.0,CSL-Diff-50 (Ours),0.3071111111111111,0.08243935294251313,0.6270014868420815,0.04305823862684305
CIFAR-10,256,2.5353644939701114e-05,3.0,CSL-Diff-40 (Ours),0.30977777777777776,0.08136854125626708,0.6339472216336429,0.04811456791715843
CIFAR-10,256,2.5353644939701114e-05,3.0,LT-IQR (Pollock et al.),0.29244444444444445,0.07354984872121478,0.6009874098341654,0.05305720162415801
CIFAR-10,256,2.5353644939701114e-05,3.0,Loss,0.0026666666666666666,0.0018856180831641268,0.004454549899760403,0.0032167702684022313
CIFAR-10,256,2.5353644939701114e-05,3.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,3.0,RMIA (Baseline),0.3324444444444445,0.09269197629318193,0.6749212661881968,0.047590139285683446
CIFAR-10,256,2.5353644939701114e-05,3.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.5353644939701114e-05,5.0,CSL-Diff-50 (Ours),0.22373333333333334,0.06172742952331285,0.7585917196840869,0.04384223737436313
CIFAR-10,256,2.5353644939701114e-05,5.0,CSL-Diff-40 (Ours),0.22293333333333334,0.06147114951115053,0.757345516021131,0.050564470357462483
CIFAR-10,256,2.5353644939701114e-05,5.0,LT-IQR (Pollock et al.),0.21306666666666665,0.05552689038254849,0.7267575433239704,0.05537995469340084
CIFAR-10,256,2.5353644939701114e-05,5.0,Loss,0.002133333333333333,0.0009977753031397178,0.006651354547545442,0.0014371872689555555
CIFAR-10,256,2.5353644939701114e-05,5.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.5353644939701114e-05,5.0,RMIA (Baseline),0.24986666666666668,0.07174869723943116,0.8429169903853294,0.03717600957666907
CIFAR-10,256,2.5353644939701114e-05,5.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.848035868435799e-05,0.1,CSL-Diff-50 (Ours),0.7599999999999999,0.1131370849898476,0.05432999744647097,0.011623352709944265
CIFAR-10,256,2.848035868435799e-05,0.1,CSL-Diff-40 (Ours),0.7466666666666667,0.082192186706253,0.05421069693232423,0.014272141961195178
CIFAR-10,256,2.848035868435799e-05,0.1,LT-IQR (Pollock et al.),0.68,0.032659863237109024,0.051654677757313326,0.019906493485077226
CIFAR-10,256,2.848035868435799e-05,0.1,Loss,0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,0.1,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,0.1,RMIA (Baseline),0.5066666666666667,0.1359738536958076,0.03444076808704455,0.002336472955819867
CIFAR-10,256,2.848035868435799e-05,0.1,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.848035868435799e-05,1.0,CSL-Diff-50 (Ours),0.49866666666666665,0.09832372834446199,0.3492059158566909,0.053783079559296336
CIFAR-10,256,2.848035868435799e-05,1.0,CSL-Diff-40 (Ours),0.5053333333333333,0.0987567156647531,0.35425311992350283,0.055933334743474394
CIFAR-10,256,2.848035868435799e-05,1.0,LT-IQR (Pollock et al.),0.48133333333333334,0.09568466729604883,0.33679540256113527,0.05104923447725171
CIFAR-10,256,2.848035868435799e-05,1.0,Loss,0.0026666666666666666,0.0037712361663282535,0.00130718954248366,0.0018486451795726735
CIFAR-10,256,2.848035868435799e-05,1.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,1.0,RMIA (Baseline),0.4466666666666667,0.12437934805353429,0.30396521405274035,0.03801382038895716
CIFAR-10,256,2.848035868435799e-05,1.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.848035868435799e-05,2.0,CSL-Diff-50 (Ours),0.3833333333333333,0.1008937835327606,0.5230839477196624,0.04033441117785602
CIFAR-10,256,2.848035868435799e-05,2.0,CSL-Diff-40 (Ours),0.38999999999999996,0.10749263540664851,0.5294409220231918,0.03242044919773509
CIFAR-10,256,2.848035868435799e-05,2.0,LT-IQR (Pollock et al.),0.36866666666666664,0.08681525723563162,0.5088851491460166,0.057146669458221486
CIFAR-10,256,2.848035868435799e-05,2.0,Loss,0.0033333333333333335,0.0024944382578492943,0.003623294704415432,0.0025879689444170267
CIFAR-10,256,2.848035868435799e-05,2.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,2.0,RMIA (Baseline),0.37866666666666665,0.09973743307081628,0.5177902647158429,0.061657578502159784
CIFAR-10,256,2.848035868435799e-05,2.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.848035868435799e-05,3.0,CSL-Diff-50 (Ours),0.3071111111111111,0.08243935294251313,0.6270014868420815,0.04305823862684305
CIFAR-10,256,2.848035868435799e-05,3.0,CSL-Diff-40 (Ours),0.30977777777777776,0.08136854125626708,0.6339472216336429,0.04811456791715843
CIFAR-10,256,2.848035868435799e-05,3.0,LT-IQR (Pollock et al.),0.29244444444444445,0.07354984872121478,0.6009874098341654,0.05305720162415801
CIFAR-10,256,2.848035868435799e-05,3.0,Loss,0.0026666666666666666,0.0018856180831641268,0.004454549899760403,0.0032167702684022313
CIFAR-10,256,2.848035868435799e-05,3.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,3.0,RMIA (Baseline),0.3324444444444445,0.09269197629318193,0.6749212661881968,0.047590139285683446
CIFAR-10,256,2.848035868435799e-05,3.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,2.848035868435799e-05,5.0,CSL-Diff-50 (Ours),0.22373333333333334,0.06172742952331285,0.7585917196840869,0.04384223737436313
CIFAR-10,256,2.848035868435799e-05,5.0,CSL-Diff-40 (Ours),0.22293333333333334,0.06147114951115053,0.757345516021131,0.050564470357462483
CIFAR-10,256,2.848035868435799e-05,5.0,LT-IQR (Pollock et al.),0.21306666666666665,0.05552689038254849,0.7267575433239704,0.05537995469340084
CIFAR-10,256,2.848035868435799e-05,5.0,Loss,0.002133333333333333,0.0009977753031397178,0.006651354547545442,0.0014371872689555555
CIFAR-10,256,2.848035868435799e-05,5.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,2.848035868435799e-05,5.0,RMIA (Baseline),0.24986666666666668,0.07174869723943116,0.8429169903853294,0.03717600957666907
CIFAR-10,256,2.848035868435799e-05,5.0,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,3.199267137797385e-05,0.1,CSL-Diff-50 (Ours),0.7599999999999999,0.1131370849898476,0.05432999744647097,0.011623352709944265
CIFAR-10,256,3.199267137797385e-05,0.1,CSL-Diff-40 (Ours),0.7466666666666667,0.082192186706253,0.05421069693232423,0.014272141961195178
CIFAR-10,256,3.199267137797385e-05,0.1,LT-IQR (Pollock et al.),0.68,0.032659863237109024,0.051654677757313326,0.019906493485077226
CIFAR-10,256,3.199267137797385e-05,0.1,Loss,0.0,0.0,0.0,0.0
CIFAR-10,256,3.199267137797385e-05,0.1,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,3.199267137797385e-05,0.1,RMIA (Baseline),0.5066666666666667,0.1359738536958076,0.03444076808704455,0.002336472955819867
CIFAR-10,256,3.199267137797385e-05,0.1,Random guess,0.015026666666666667,0.004854175751064461,0.015026666666666667,0.004854175751064461
CIFAR-10,256,3.199267137797385e-05,1.0,CSL-Diff-50 (Ours),0.49866666666666665,0.09832372834446199,0.3492059158566909,0.053783079559296336
CIFAR-10,256,3.199267137797385e-05,1.0,CSL-Diff-40 (Ours),0.5053333333333333,0.0987567156647531,0.35425311992350283,0.055933334743474394
CIFAR-10,256,3.199267137797385e-05,1.0,LT-IQR (Pollock et al.),0.48133333333333334,0.09568466729604883,0.33679540256113527,0.05104923447725171
CIFAR-10,256,3.199267137797385e-05,1.0,Loss,0.0026666666666666666,0.0037712361663282535,0.00130718954248366,0.0018486451795726735
CIFAR-10,256,3.199267137797385e-05,1.0,Gradient norm (CSG),0.0,0.0,0.0,0.0
CIFAR-10,256,3.199267137797385e-05,1.0,RMIA (Baseline),0.4466666666666667,0.12437934805353429,0.30396521405274035,0.03801382038895716
